,Description,IncidentNum,Location,Agency,Date
38,THEFT/LARCENY,PD210404105762,8400 BLOCK CORAL WAY,Miami-Dade Police,20210404180101
39,ASSAULT,PD210404105731,5100 BLOCK NW 29TH AVE,Miami-Dade Police,20210404175301
40,ASSAULT,PD210404105726,7300 BLOCK NW 174TH TER,Miami-Dade Police,20210404174001
41,THEFT/LARCENY,PD210404105703,8400 BLOCK CORAL WAY,Miami-Dade Police,20210404172101
42,CRIMINAL MISCHIEF / VANDALISM,2104040021088,100 BLOCK NE 78TH ST,Miami Police,20210404170101
43,CRIMINAL MISCHIEF / VANDALISM,2104040021089,0 BLOCK SE 2ND ST,Miami Police,20210404165601
44,"AGG CHILD ABUSE: WITHOUT CAUSING GREAT BODILY HARM,PERM DISABILITY,DISFIGUREMNT (HANDS, FISTS OR FEE",2104040021100,1900 BLOCK NW 24TH ST,Miami Police,20210404165401
45,BURGLARY - MOTOR VEHICLE (CONVEYANCE),2104040021077,100 BLOCK NW 58TH ST,Miami Police,20210404164001
46,BURGLARY / DWELLING OCCUPIED (NO ASSAULT / BATTERY - NO WEAPON),2104040021080,1500 BLOCK NW 1ST ST,Miami Police,20210404163901
47,ASSAULT,PD210404105655,MR GOVERNMENT CENTER,Miami-Dade Police,20210404163901
48,BURGLARY - MOTOR VEHICLE (CONVEYANCE),2104040021082,1700 BLOCK NW 16TH ST,Miami Police,20210404163101
49,THEFT/LARCENY,PD210404105679,MR VIZCAYA,Miami-Dade Police,20210404163001
50,DRUGS/ALCOHOL VIOLATIONS,PD210404105670,15000 BLOCK SW 11TH ST,Miami-Dade Police,20210404162001
51,ASSAULT,PD210404105640,15000 BLOCK SW 11TH ST,Miami-Dade Police,20210404162001
52,"GRAND THEFT - UNSPECIFIED -$10,000 TO LESS THAN $20,000",2104040021084,0 BLOCK SW 8 ST,Miami Police,20210404160401
53,"GRAND THEFT - UNSPECIFIED -$10,000 TO LESS THAN $20,000",2104040021084,0 BLOCK SW 8 ST,Miami Police,20210404160401
54,THEFT - OF MOTOR VEHICLE PARTS,2104040021083,400 BLOCK SW 21ST AV,Miami Police,20210404160001
55,BATTERY / SIMPLE,2104040021079,300 BLOCK NW 59TH TER,Miami Police,20210404155401
56,BURGLARY - MOTOR VEHICLE (CONVEYANCE),2104040021070,0 BLOCK NE 11TH ST,Miami Police,20210404153001
57,ASSAULT,PD210404105680,18200 BLOCK S DIXIE HWY,Miami-Dade Police,20210404153001
58,THEFT/LARCENY,PD210407109235,17300 BLOCK NW 49TH AVE,Miami-Dade Police,20210404153001
59,BURGLARY - MOTOR VEHICLE (CONVEYANCE),2104040021072,1300 BLOCK NE 2ND AV,Miami Police,20210404152501
60,AGGRAVATED BATTERY,2104040021074,600 BLOCK NW 10TH ST,Miami Police,20210404152301
61,BATTERY / DOMESTIC,2104040021074,600 BLOCK NW 10TH ST,Miami Police,20210404152301
62,THEFT/LARCENY,PD210404105615,3200 BLOCK NW 79TH ST,Miami-Dade Police,20210404150001
63,MOTOR VEHICLE THEFT,PD210404105864,100 BLOCK NW 97TH AVE,Miami-Dade Police,20210404150001
64,SIMPLE BATTERY,2104040021064,400 BLOCK NW 57TH AV,Miami Police,20210404145701
65,AGGRAVATED ASSAULT,2104040021063,NW 5TH AV / NW 56TH ST,Miami Police,20210404144801
66,FRAUD,PD210404105569,7500 BLOCK NW 14TH AVE,Miami-Dade Police,20210404144601
67,THEFT - FROM MOTOR VEHICLE,2104040021065,600 BLOCK NW 1ST ST,Miami Police,20210404143301
68,BATTERY / AGG: USES DEADLY WEAPON,2104040021060,700 BLOCK NW 13TH AV,Miami Police,20210404141701
69,BURGLARY - RESIDENCE,2104040021053,100 BLOCK NE 47TH ST,Miami Police,20210404132901
70,BURGLARY - RESIDENCE,2104040021053,100 BLOCK NE 47TH ST,Miami Police,20210404132901
71,SIMPLE BATTERY,2104040021046,100 BLOCK NE 70TH ST,Miami Police,20210404131001
72,ASSAULT / AGG / WITH A DEADLY WEAPON WITHOUT INTENT TO KILL,2104040021045,700 BLOCK  NE 62ND ST,Miami Police,20210404130801
73,ASSAULT / AGG / WITH A DEADLY WEAPON WITHOUT INTENT TO KILL,2104040021045,700 BLOCK  NE 62ND ST,Miami Police,20210404130801
74,ASSAULT,PD210404105490,13600 BLOCK SW 152ND ST,Miami-Dade Police,20210404130401
75,CRIMINAL MISCHIEF / VANDALISM,2104040021050,100 BLOCK NW 25TH ST,Miami Police,20210404124801
76,SIMPLE BATTERY,21001904,100 BLOCK ALCAZAR AV,Coral Gables Police,20210404123601
77,VEHICLE BREAK-IN/THEFT,PD210405106667,7600 BLOCK NW 16TH AVE,Miami-Dade Police,20210404123001
78,THEFT - OF MOTOR VEHICLE PARTS,2104040021037,3600 BLOCK SW 6 ST,Miami Police,20210404122801
79,THEFT FROM MOTOR VEHICLE,21001906,500 BLOCK MALAGA AV,Coral Gables Police,20210404122101
80,THEFT - FROM MOTOR VEHICLE,2104040021054,NW 3RD AV / NW 25TH ST,Miami Police,20210404122001
81,THEFT/LARCENY,PD210404105471,3200 BLOCK NW 79TH ST,Miami-Dade Police,20210404120001
82,FRAUD USE OF CREDIT CARDS: 2 TIMES OR LESS IN 6 MOS: OR LESS THAN $100,2104040021040,200 BLOCK SW 15TH RD,Miami Police,20210404115500
83,BATTERY / DOMESTIC,2104040021035,3200 BLOCK TREASURE TROVE LN,Miami Police,20210404114200
84,BATTERY / DOMESTIC,2104040021034,800 BLOCK NW 44TH AV,Miami Police,20210404112700
85,AUTO THEFT,332104055923,5800 BLOCK DEWEY ST,Hollywood Police,20210404110600
86,BURGLARY - MOTOR VEHICLE (CONVEYANCE),2104040021036,100 BLOCK NW 10TH ST,Miami Police,20210404110600
87,AGGRAVATED BATTERY,2104040021032,NW 3RD AV / NW 11TH ST,Miami Police,20210404105700
88,BURGLARY - MOTOR VEHICLE (CONVEYANCE),2104040021033,W FLAGLER ST / SW 20TH AV,Miami Police,20210404104900
89,ASSAULT,PD210404105377,6700 BLOCK SW 13TH ST,Miami-Dade Police,20210404102500
90,THEFT - FROM MOTOR VEHICLE,2104040021030,300 BLOCK NW 59TH CT,Miami Police,20210404102200
91,ASSAULT,PD210404105371,7200 BLOCK NW 6TH ST,Miami-Dade Police,20210404102000
92,BURGLARY CONVEYANCE,192104000067,"3700 BLOCK SW 52ND AV, PEMBROKE PARK",Broward County Sheriff,20210404101200
93,DRUGS/ALCOHOL VIOLATIONS,PD210404105355,11000 BLOCK NW 17TH AVE,Miami-Dade Police,20210404101000
94,AUTO THEFT,2104040021023,1500 BLOCK SW 5TH ST,Miami Police,20210404095700
95,RETAIL THEFT,2104040021021,1400 BLOCK NW 27TH AV,Miami Police,20210404095600
96,THEFT - OF MOTOR VEHICLE PARTS,2104040021015,NW 19TH AV / NW FLAGLER TER,Miami Police,20210404090000
97,FRAUD,PD210414116817,3300 BLOCK SW 114TH CT,Miami-Dade Police,20210404090000
98,FRAUD,PD210712220940,15200 BLOCK MEMORIAL HWY,Miami-Dade Police,20210404090000
99,MOTOR VEHICLE THEFT,PD210404105322,11000 BLOCK NW 17TH AVE,Miami-Dade Police,20210404085800
100,THEFT/LARCENY,PD210404105320,9800 BLOCK E HIBISCUS ST,Miami-Dade Police,20210404083000
101,BURGLARY CONVEYANCE,192104000066,"5400 BLOCK SW 34TH ST, PEMBROKE PARK",Broward County Sheriff,20210404081800
102,FRAUD,PD210524163014,18300 BLOCK S DIXIE HWY,Miami-Dade Police,20210404080000
103,MOTOR VEHICLE THEFT,PD210604176615,16600 BLOCK NW 57TH AVE,Miami-Dade Police,20210404080000
104,FRAUD,PD210507143500,10400 BLOCK NW 7TH AVE,Miami-Dade Police,20210404080000
105,THEFT - FROM MOTOR VEHICLE,2104040021000,3500 BLOCK SW 9TH TER,Miami Police,20210404072400
106,THEFT - FROM MOTOR VEHICLE,2104040021000,3500 BLOCK SW 9TH TER,Miami Police,20210404072400
107,GRAND THEFT - UNSPECIFIED - $300 TO LESS THAN $5000,2104040021005,0 BLOCK SW 20TH RD,Miami Police,20210404072200
108,IMPROPER EXHIBITION OF FIREARM OR DANGEROUS WEAPON,2104040021001,1100 BLOCK NW 63RD ST,Miami Police,20210404071400
109,IMPROPER EXHIBITION OF FIREARM OR DANGEROUS WEAPON,2104040021001,1100 BLOCK NW 63RD ST,Miami Police,20210404071400
110,THEFT/LARCENY,PD210404105419,800 BLOCK NW 106TH ST,Miami-Dade Police,20210404070000
111,THEFT/LARCENY,PD210412115004,7900 BLOCK NW 36TH PL,Miami-Dade Police,20210404070000
112,ASSAULT,PD210404105274,18800 BLOCK S DIXIE HWY,Miami-Dade Police,20210404065300
113,CRIMINAL MISCHIEF / VANDALISM,2104040020997,1800 BLOCK NW 22ND ST,Miami Police,20210404061100
114,SIMPLE BATTERY,2104040020995,900 BLOCK SW 10TH ST,Miami Police,20210404054400
115,AGGRAVATED ASSAULT,210404006449,4600 BLOCK NW 114TH AVE,Doral Police,20210404053000
116,DRUGS/ALCOHOL VIOLATIONS,PD210404105222,SW 147TH AVE & SW 177TH TER,Miami-Dade Police,20210404042600
117,BATTERY / SIMPLE,2104040020993,7200 BLOCK BISCAYNE BLVD,Miami Police,20210404041000
118,BATTERY,332104055836,6400 BLOCK PEMBROKE RD,Hollywood Police,20210404035000
119,ASSAULT,PD210404105190,2700 BLOCK NW 30TH ST,Miami-Dade Police,20210404030000
120,THEFT/LARCENY,PD210406107616,700 BLOCK NW 79TH ST,Miami-Dade Police,20210404030000
121,THEFT/LARCENY,PD210404105745,5300 BLOCK NW 77TH AVE,Miami-Dade Police,20210404030000
122,BURGLARY CONVEYANCE,012104000097,"5800 BLOCK W HALLANDALE BEACH BLVD, WEST PARK",Broward County Sheriff,20210404023400
123,VEHICLE BREAK-IN/THEFT,PD210404105378,10700 BLOCK SW 190TH ST,Miami-Dade Police,20210404020000
124,BATTERY / DOMESTIC,2104040020985,500 BLOCK SW 2ND ST,Miami Police,20210404015400
125,THEFT/LARCENY,PD210404105472,8400 BLOCK MILLS DR,Miami-Dade Police,20210404010000
126,THEFT/LARCENY,PD210404105853,8400 BLOCK MILLS DR,Miami-Dade Police,20210404010000
127,CARRYING CONCEALED FIREARM,2104040020970,NW 7TH AV / NW 54TH ST,Miami Police,20210404003000
128,FRAUD,PD210519157690,15300 BLOCK SW 47TH ST,Miami-Dade Police,20210404000000
129,MOTOR VEHICLE THEFT,PD210405106987,MIA-FLAMINGO-A-L1,Miami-Dade Police,20210404000000
130,ASSAULT,PD210403105028,UNKNOWN ADDRESS,Miami-Dade Police,20210403234901
131,MOTOR VEHICLE THEFT,PD210403105024,14400 BLOCK SW 40TH ST,Miami-Dade Police,20210403233001
132,SIMPLE BATTERY,210403006418,10800 BLOCK NW 51ST LN,Doral Police,20210403232701
